N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
135,DL이앤씨,"114,000","2,500",-2.15%,"5,000","22,069","19,359",23.40,"146,646",N/A,N/A,
136,녹십자,"187,000","3,000",+1.63%,"5,000","21,854","11,687",23.09,"9,848",25.34,7.48,
137,KODEX 레버리지,"20,350",225,+1.12%,0,"21,734","106,800",0.61,"9,867,141",N/A,N/A,
138,OCI,"90,900",100,+0.11%,"5,000","21,679","23,849",15.67,"112,022",10.84,-9.89,
139,영원무역,"48,250",550,+1.15%,500,"21,380","44,311",28.11,"60,520",9.28,8.03,
140,현대로템,"19,200",50,+0.26%,"5,000","20,955","109,142",3.37,"179,750",66.90,2.84,
141,농심,"344,000","2,500",+0.73%,"5,000","20,924","6,083",12.78,"17,682",19.60,7.50,
142,TIGER 200,"36,910",190,+0.52%,0,"20,633","55,900",0.00,"259,878",N/A,N/A,
143,씨에스윈드,"48,700",300,-0.61%,500,"20,537","42,171",11.53,"82,698",44.19,8.19,
144,KODEX MSCI Korea TR,"11,885",75,+0.64%,0,"20,514","172,600",3.29,"129,326",N/A,N/A,
145,후성,"21,600",700,+3.35%,500,"20,003","92,607",6.72,"935,207",72.73,2.79,
146,효성첨단소재,"439,000","7,000",+1.62%,"5,000","19,667","4,480",10.37,"23,128",9.16,0.03,
147,휠라홀딩스,"32,000",0,0.00%,"1,000","19,441","60,752",43.76,"109,061",8.27,10.94,
148,롯데정밀화학,"74,700",400,+0.54%,"5,000","19,273","25,800",21.68,"60,132",4.52,12.65,
149,효성티앤씨,"434,000","11,000",+2.60%,"5,000","18,782","4,328",16.91,"25,759",2.66,25.10,
150,TIGER 미국나스닥100,"78,190",830,-1.05%,0,"18,711","23,930",0.01,"95,716",N/A,N/A,
151,한미반도체,"37,250",850,-2.23%,200,"18,424","49,460",6.04,"282,870",22.15,21.03,
152,현대위아,"67,600",200,+0.30%,"5,000","18,384","27,195",6.35,"52,020",50.37,1.96,
153,KODEX 200선물인버스2X,"2,490",25,-0.99%,0,"17,980","722,100",5.34,"80,085,914",N/A,N/A,
154,동원시스템즈,"61,200",600,-0.97%,"5,000","17,863","29,188",13.26,"69,195",27.72,10.97,
155,한샘,"74,800",300,-0.40%,"1,000","17,603","23,534",16.20,"16,007",22.01,10.83,
156,현대백화점,"75,100",200,+0.27%,"5,000","17,575","23,402",18.29,"43,504",11.36,1.65,
157,코오롱인더,"63,500","1,200",+1.93%,"5,000","17,475","27,519",19.83,"98,744",9.86,9.70,
158,효성,"81,800",600,+0.74%,"5,000","17,236","21,071",8.13,"18,917",4.45,-2.26,
159,더존비즈온,"55,700","1,200",+2.20%,500,"16,923","30,383",39.14,"64,823",27.26,15.09,
160,TIGER MSCI Korea TR,"14,960",85,+0.57%,0,"16,815","112,400",14.24,"1,059",N/A,N/A,
161,오뚜기,"454,500",0,0.00%,"5,000","16,689","3,672",11.68,"1,523",15.09,7.93,
162,대웅제약,"143,000","1,000",+0.70%,"2,500","16,569","11,587",6.10,"22,018",143.57,2.38,
163,JB금융지주,"8,410",40,-0.47%,"5,000","16,566","196,983",42.24,"56,620",3.47,10.06,
164,LS,"50,700",0,0.00%,"5,000","16,325","32,200",13.58,"32,120",6.37,3.94,
165,DGB금융지주,"9,610",20,-0.21%,"5,000","16,255","169,146",49.50,"92,755",3.43,6.93,
166,KODEX 단기채권,"103,185",0,0.00%,0,"16,133","15,635",0.00,"16,536",N/A,N/A,
167,두산,"96,500",300,+0.31%,"5,000","15,946","16,524",10.67,"12,477",-55.59,-34.34,
168,한전KPS,"35,400",550,+1.58%,200,"15,930","45,000",7.26,"149,053",13.18,8.23,
169,대웅,"27,300",300,+1.11%,500,"15,873","58,142",4.25,"30,813",15.03,15.10,
170,일진하이솔루스,"43,350","1,450",+3.46%,500,"15,742","36,313",1.92,"150,318",80.88,34.27,
171,KODEX 삼성그룹,"9,165",110,+1.21%,0,"15,562","169,800",0.30,"65,417",N/A,N/A,
172,현대엘리베이,"37,550",100,+0.27%,"5,000","15,326","40,815",29.20,"47,678",24.19,9.78,
173,아시아나항공,"20,550",300,+1.48%,"5,000","15,292","74,412",7.07,"787,575",-3.53,-43.83,
174,아이에스동서,"48,450",650,-1.32%,500,"14,967","30,893",4.24,"29,927",27.75,10.92,
175,롯데칠성,"160,000",0,0.00%,500,"14,846","9,279",8.93,"51,983",18.91,-1.00,
176,LS ELECTRIC,"49,250",150,+0.31%,"5,000","14,775","30,000",17.61,"19,350",18.23,6.15,
177,동국제강,"15,250",0,0.00%,"5,000","14,553","95,433",22.31,"285,475",3.22,3.35,
178,NHN,"38,450",150,+0.39%,500,"14,426","37,518",19.40,"70,054",44.40,1.35,
179,케이카,"29,800",650,+2.23%,500,"14,330","48,087",18.37,"52,696",49.50,15.11,
180,LIG넥스원,"64,600",800,+1.25%,"5,000","14,212","22,000",6.65,"142,172",15.06,8.86,
181,KODEX 종합채권(AA-이상)액티브,"106,145",230,-0.22%,0,"14,142","13,323",0.00,"1,288",N/A,N/A,
182,한일시멘트,"19,900",200,+1.02%,500,"13,783","69,262",2.57,"60,241",13.11,N/A,
183,TIGER 단기통안채,"100,575",10,-0.01%,0,"13,517","13,440",0.88,"17,392",N/A,N/A,
184,대한전선,"1,565",5,+0.32%,100,"13,404","856,473",1.59,"6,747,149",43.47,0.92,
185,TIGER 미국S&P500,"13,495",80,-0.59%,0,"13,320","98,700",0.00,"413,562",N/A,N/A,
186,ESR켄달스퀘어리츠,"6,160",10,-0.16%,"1,000","13,126","213,089",32.02,"69,525",162.11,1.14,
187,롯데리츠,"5,380",60,+1.13%,500,"13,072","242,969",9.60,"51,333",33.62,1.68,
188,한국앤컴퍼니,"13,700",0,0.00%,500,"13,006","94,935",9.69,"36,723",5.26,5.08,
189,티와이홀딩스,"25,200",100,-0.40%,500,"12,834","50,929",5.06,"6,898",2.17,N/A,
190,명신산업,"24,450",50,+0.20%,500,"12,829","52,470",2.62,"94,490",-10.60,-67.39,
191,신풍제약,"24,200","1,250",-4.91%,500,"12,822","52,985",10.36,"388,490","4,033.33",1.72,
192,PI첨단소재,"43,600","1,600",+3.81%,500,"12,804","29,366",12.81,"85,393",21.89,15.62,
193,에스엘,"26,450",0,0.00%,500,"12,750","48,203",14.82,"42,561",8.77,4.74,
194,현대두산인프라코어,"6,440",120,+1.90%,"1,000","12,715","197,435",9.92,"2,218,653",5.51,6.47,
195,롯데렌탈,"34,450",400,+1.17%,"5,000","12,620","36,634",1.66,"51,404",11.95,6.73,
196,DL,"60,200","1,600",+2.73%,"5,000","12,615","20,956",11.74,"51,343",1.91,11.84,
197,코리안리,"10,450",150,-1.42%,500,"12,579","120,369",31.88,"197,429",8.01,5.78,
198,TIGER 2차전지테마,"19,475",250,+1.30%,0,"12,571","64,550",0.28,"924,525",N/A,N/A,
199,TIGER 미국테크TOP10 INDXX,"11,850",175,-1.46%,0,"12,531","105,750",0.57,"589,458",N/A,N/A,
200,진원생명과학,"15,850",400,+2.59%,"1,000","12,302","77,614",12.61,"1,002,464",-47.89,-30.43,
